Trace Path1
X(mm), Y(mm), Z(mm)
38.713670023455, 41.9434758918727, -5.00000000000017
21.2772172748836, 38.3553184792529, -5.00000000000017
3.55302502822469, 40.8081997253038, -5.00000000000017
-6.18075230204444, 45.3647181390235, -5.00000000000017
-8.84437173174438, 48.1785326281115, -5.00000000000017
-7.38829765658636, 49.259239014557, -5.00000000000017
-3.58937891688518, 49.4958565897326, -5.00000000000017
1.52337385989909, 49.505863007603, -5.00000000000017
7.24707970022869, 49.5778349833513, -5.00000000000017
13.1356209023725, 49.747244989231, -5.00000000000017
19.0650435953082, 49.9234146930687, -5.00000000000017
24.9731248690235, 50.0176421691685, -5.00000000000017
30.9463572150389, 50.0528861644789, -5.00000000000017
36.9577016672292, 50.1707163145882, -5.00000000000017
42.7777232259644, 50.5092951283215, -5.00000000000017
